ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,0,0,0,0,0,0,0,0,0,0
10002,0,0,0,0,0,0,0,0,0,0
10003,0,0,0,0,8,0,0,0,0,0
10004,0,0,0,0,0,0,0,0,0,0
10005,0,26,25,13,19,14,8,27,7,26
10006,0,0,0,0,0,0,5,0,0,14
10007,6,6,6,6,6,6,6,6,6,6
10008,27,27,64,27,27,27,27,27,27,27
10009,8,8,8,8,8,8,8,8,8,8
10010,0,10,0,0,0,0,0,0,0,15
10011,0,0,0,0,0,0,0,0,0,0
10012,16,16,16,16,16,19,16,16,16,16
10013,3,3,3,3,3,3,3,3,3,3
10014,0,0,0,0,0,0,0,0,0,0
10015,22,0,0,0,0,0,0,21,0,0
10016,22,10,21,0,29,8,0,17,0,0
10017,18,18,18,18,18,18,18,18,18,18
10018,0,0,0,0,0,0,0,0,0,0
10019,0,0,0,0,0,0,0,0,0,0
10020,2,2,2,2,2,2,2,2,2,2
10021,0,0,19,11,0,12,0,29,4,0
10022,0,0,0,0,0,0,0,0,0,0
10023,8,14,13,0,17,0,0,0,24,28
10024,23,23,23,23,23,23,23,23,23,23
10025,0,0,0,0,0,21,0,0,0,0
10026,0,0,0,0,0,0,0,0,0,0
10027,0,0,0,0,0,0,0,0,12,0
10028,0,0,0,0,0,0,0,0,0,0
10029,24,13,18,29,33,17,10,30,20,15
10030,0,0,0,0,0,0,0,0,0,0
10031,0,0,0,34,0,0,0,0,0,23
10032,0,0,0,0,0,17,0,0,0,0
10033,0,0,0,0,0,0,0,0,0,0
10034,0,0,0,0,0,0,0,0,0,0
10035,0,0,0,0,0,0,0,0,0,0
10036,15,15,15,15,15,15,15,15,15,15
10037,0,0,0,14,0,0,0,0,0,0
10038,12,12,12,12,12,12,12,12,12,12
10039,0,0,0,0,0,0,0,0,0,19
10040,21,17,0,20,0,0,25,0,0,27
10041,26,7,16,16,26,5,4,34,0,9
10042,0,0,0,0,0,0,0,0,0,0
10043,0,0,0,0,0,0,0,0,0,0
10044,0,0,0,0,0,0,0,0,0,0
10045,12,0,13,15,0,0,17,0,0,0
10046,0,0,0,0,0,0,0,0,0,0
10047,23,23,23,23,23,23,23,23,23,23
10048,0,0,0,0,0,0,0,0,0,0
10049,0,0,0,0,0,0,0,0,0,0
10050,0,0,0,0,0,0,0,0,0,0
10051,4,4,4,4,4,4,4,4,4,4
10053,0,0,0,0,0,0,0,0,0,0
10054,0,0,0,0,0,0,0,0,0,0
10055,0,0,0,0,0,0,0,22,0,0
10056,0,0,0,0,0,0,0,0,0,0
10057,15,15,15,15,15,15,15,15,15,15
10058,0,0,0,0,0,0,0,0,0,0
10059,0,0,0,0,0,0,0,0,0,0
10060,13,13,13,13,13,13,13,13,13,13
10061,0,0,0,0,0,0,0,0,0,0
10062,0,0,0,0,0,0,0,0,0,0
10063,0,0,0,0,0,0,0,0,0,0
10064,0,0,0,0,0,0,0,0,0,0
10065,12,13,20,10,22,11,12,13,11,17
10066,9,12,12,4,21,9,0,13,25,14
10067,0,0,0,0,0,0,0,0,0,0
10068,0,0,0,0,0,0,0,0,0,0
10069,14,14,14,14,14,14,14,14,14,14
10070,33,33,33,33,33,33,33,33,33,33
10071,0,0,0,0,0,0,0,0,0,0
10072,3,7,0,21,22,30,25,21,32,15
10073,0,0,0,0,0,0,0,0,0,0
10074,15,15,15,15,15,15,15,15,15,15
10075,0,0,0,0,0,13,0,0,0,18
10076,0,0,0,0,0,0,0,0,0,0
10077,17,17,17,17,17,17,17,17,17,17
10078,19,25,24,23,15,18,20,13,12,14
10079,0,2,0,0,27,0,10,12,14,0
10080,0,0,0,9,0,0,0,0,47,0
10081,0,0,0,0,0,0,0,0,0,0
10082,0,0,0,0,21,0,4,0,0,0
10083,14,14,14,14,14,14,14,14,14,14
10084,0,0,0,0,0,0,0,0,0,0
10085,0,0,0,0,0,0,0,0,0,0
10086,8,8,8,8,8,8,8,8,8,8
10087,0,0,0,0,0,0,0,0,0,0
10088,0,10,0,0,0,0,0,0,0,0
10089,14,0,0,0,0,0,0,0,0,0
10090,11,11,11,11,11,11,11,11,11,11
10091,17,14,0,0,24,29,0,0,0,9
10092,0,0,0,0,0,0,0,0,0,0
10093,1,1,1,1,1,1,1,1,1,1
10094,18,18,18,18,18,18,18,18,18,18
10095,20,10,0,21,0,12,10,25,0,0
10096,20,0,26,0,3,12,3,0,24,0
10097,19,14,0,0,0,12,0,0,0,0
10098,0,0,0,0,0,0,0,0,0,0
10099,0,0,0,0,0,0,0,0,0,0
10100,0,0,0,0,0,0,0,0,0,0
10101,12,12,12,12,12,12,12,12,12,12
10102,0,0,0,7,0,0,0,0,0,0
10103,17,17,17,17,17,17,17,17,17,17
10104,0,0,0,0,0,0,0,0,0,0
10105,9,0,0,0,0,0,0,0,0,0
10106,8,8,8,8,8,8,8,8,8,8
10107,0,0,0,0,0,0,0,0,0,0
10108,9,9,9,9,9,9,9,9,9,9
10110,13,13,13,13,13,13,13,13,13,13
10111,22,22,22,22,22,22,22,22,22,22
10112,0,0,0,0,0,0,0,0,0,0
10113,0,0,0,0,13,0,0,0,0,0
10114,8,8,8,8,8,8,8,8,8,8
10115,0,0,0,0,0,0,0,0,0,0
10116,0,0,10,14,0,0,0,11,0,0
10117,0,19,7,6,0,27,0,14,16,0
10118,0,0,0,0,0,0,0,0,0,0
10119,28,28,28,28,28,28,28,28,28,28
10120,0,0,0,0,6,0,0,0,0,0
10121,15,15,15,15,15,15,15,15,15,15
10122,14,14,14,14,14,14,14,14,14,14
10123,0,0,0,0,28,0,0,0,0,0
10124,0,0,0,7,0,41,0,0,0,0
10125,16,16,16,16,16,16,16,16,16,16
10126,0,0,14,0,0,27,0,0,0,0
10127,0,0,0,0,0,0,0,0,0,0
10128,0,0,31,0,0,0,8,10,0,0
10129,16,16,16,16,16,16,16,16,16,16
