ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,0,0,0,0,0,0,0,0,0,0
10001,2,1,0,0,0,0,0,0,0,0,0,0
10002,1,1,0,0,0,0,0,0,0,0,0,0
10003,0,1,0,0,0,0,0,0,0,0,0,28
10003,1,1,0,0,0,0,8,0,0,0,0,0
10004,1,1,0,0,0,0,0,0,0,0,0,0
10005,1,1,0,26,25,13,19,14,8,27,7,26
10005,2,1,0,0,16,0,0,0,0,0,0,0
10006,1,1,0,0,0,0,0,0,5,0,0,14
10006,2,1,0,0,0,0,0,0,0,0,0,0
10006,3,1,0,0,0,0,0,0,0,0,0,0
10007,1,1,6,6,6,6,6,6,6,6,6,6
10008,1,1,27,27,27,27,27,27,27,27,27,27
10008,2,1,0,0,64,0,0,0,0,0,0,0
10009,1,1,8,8,8,8,8,8,8,8,8,8
10010,2,1,0,0,0,0,0,0,0,0,0,0
10010,3,1,0,10,0,0,0,0,0,0,0,15
10011,1,1,0,0,0,0,0,0,0,0,0,0
10012,1,1,16,16,16,16,16,16,16,16,16,16
10012,2,1,0,0,0,0,0,19,0,14,0,0
10013,1,1,0,0,0,0,0,0,0,0,0,0
10013,2,1,3,3,3,3,3,3,3,3,3,3
10014,0,1,23,23,23,23,23,23,23,23,23,23
10014,1,1,0,0,0,0,0,0,0,0,0,0
10015,0,1,33,0,0,0,0,23,0,0,11,21
10015,1,1,22,0,0,0,0,0,0,21,0,0
10016,1,1,22,10,21,0,29,8,0,17,0,0
10017,1,1,18,18,18,18,18,18,18,18,18,18
10018,0,1,9,0,0,0,0,0,0,0,0,0
10018,1,1,0,0,0,0,0,0,0,0,0,0
10019,1,1,0,0,0,0,0,0,0,0,0,0
10020,1,1,2,2,2,2,2,2,2,2,2,2
10021,1,1,0,0,19,11,0,12,0,29,4,0
10022,0,1,15,15,15,15,15,15,15,15,15,15
10022,1,1,0,0,0,0,0,0,0,0,0,0
10023,1,1,8,14,13,0,17,0,0,0,24,28
10024,1,1,23,23,23,23,23,23,23,23,23,23
10025,1,1,0,0,0,0,0,0,0,0,0,0
10025,2,1,0,0,0,0,0,21,0,0,0,0
10026,1,1,0,0,0,0,0,0,0,0,0,0
10026,2,1,0,0,0,0,0,0,0,0,0,0
10027,1,1,0,0,0,0,0,0,0,0,0,0
10027,2,1,0,0,0,0,0,0,0,0,0,0
10027,3,1,0,0,0,0,0,0,0,0,12,0
10028,1,1,0,0,0,0,0,0,0,0,0,0
10028,2,1,0,0,0,0,0,0,0,0,0,0
10029,1,1,24,13,18,29,33,17,10,30,20,15
10030,1,1,0,0,0,0,0,0,0,0,0,0
10030,2,1,0,0,0,0,0,0,0,0,0,0
10031,1,1,0,0,0,34,0,0,0,0,0,23
10032,1,1,0,0,0,0,0,17,0,0,0,0
10032,2,1,0,0,0,0,0,0,0,0,0,0
10033,1,1,0,0,0,0,0,0,0,0,0,0
10034,1,1,0,0,0,0,0,0,0,0,0,0
10035,1,1,0,0,0,0,0,0,0,0,0,0
10036,1,1,15,15,15,15,15,15,15,15,15,15
10037,1,1,0,0,0,0,0,0,0,0,0,0
10037,2,1,0,0,0,14,0,0,0,0,0,0
10038,1,1,12,12,12,12,12,12,12,12,12,12
10039,1,1,0,0,0,0,0,0,0,0,0,19
10039,2,1,0,0,0,0,0,0,0,0,0,0
10040,1,1,21,17,0,20,0,0,25,0,0,27
10041,1,1,26,7,16,16,26,5,4,34,0,9
10042,0,1,0,0,0,0,0,0,0,0,0,0
10042,2,1,0,0,0,0,0,0,0,0,0,0
10043,1,1,0,0,0,0,0,0,0,0,0,0
10043,2,1,0,0,0,0,0,0,0,0,0,0
10044,1,1,0,0,0,0,0,0,0,0,0,0
10045,1,1,12,0,13,15,0,0,17,0,0,0
