STATE,STATENAME,ST_CASE,VEH_NO,PVE_FORMS,PMONTH,PMONTHNAME,PDAY,PDAYNAME,PHOUR,PHOURNAME,PMINUTE,PMINUTENAME,PHARM_EV,PHARM_EVNAME,PMAN_COLL,PMAN_COLLNAME,PNUMOCCS,PNUMOCCSNAME,PTYPE,PTYPENAME,PHIT_RUN,PHIT_RUNNAME,PREG_STAT,PREG_STATNAME,POWNER,POWNERNAME,PVIN,PVINNAME,PMODYEAR,PMODYEARNAME,PVPICMAKE,PVPICMAKENAME,PVPICMODEL,PVPICMODELNAME,PVPICBODYCLASS,PVPICBODYCLASSNAME,PMAKE,PMAKENAME,PMODEL,PBODYTYP,PBODYTYPNAME,PICFINALBODY,PICFINALBODYNAME,PGVWR_FROM,PGVWR_FROMNAME,PGVWR_TO,PGVWR_TONAME,PTRAILER,PTRAILERNAME,PTRLR1VIN,PTRLR1VINNAME,PTRLR2VIN,PTRLR2VINNAME,PTRLR3VIN,PTRLR3VINNAME,PTRLR1GVWR,PTRLR1GVWRNAME,PTRLR2GVWR,PTRLR2GVWRNAME,PTRLR3GVWR,PTRLR3GVWRNAME,PMCARR_ID,PMCARR_IDNAME,PMCARR_I1,PMCARR_I1NAME,PMCARR_I2,PMCARR_I2NAME,PV_CONFIG,PV_CONFIGNAME,PCARGTYP,PCARGTYPNAME,PHAZ_INV,PHAZ_INVNAME,PHAZPLAC,PHAZPLACNAME,PHAZ_ID,PHAZ_IDNAME,PHAZ_CNO,PHAZ_CNONAME,PHAZ_REL,PHAZ_RELNAME,PBUS_USE,PBUS_USENAME,PSP_USE,PSP_USENAME,PEM_USE,PEM_USENAME,PUNDEROVERRIDE,PUNDEROVERRIDENAME,PIMPACT1,PIMPACT1NAME,PVEH_SEV,PVEH_SEVNAME,PTOWED,PTOWEDNAME,PM_HARM,PM_HARMNAME,PFIRE,PFIRENAME,PMAK_MOD,PMAK_MODNAME,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PDEATHS
1,Alabama,10011,2,1,1,January,15,15,13,1:00pm-1:59pm,25,25,14,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,01,2,Motor Vehicle Not In-Transport Within the Trafficway,0,No,17,Illinois,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,1XPBDP9X0GD3,1XPBDP9X0GD3,2016,2016,495,Peterbilt,2787,579,66,Truck-Tractor,87,Peterbilt,881,66,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",0,Not Applicable,18,"Class 8: 33,001 lbs. and above (14,969 kg and above)",18,"Class 8: 33,001 lbs. and above (14,969 kg and above)",1,One Trailing Unit,888888888888,Not Reported,777777777777,No Trailing Units,777777777777,No Trailing Units,98,Not Reported,77,No Trailing Units,77,No Trailing Units,57600382,57600382,57,US DOT,600382,600382,6,Truck Tractor/Semi-Trailer,3,Flatbed,1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,0,No Underride or Override,6,6 Clock Point,4,Functional Damage,3,Towed But Not Due to Disabling Damage,12,Motor Vehicle In-Transport,0,No or Not Reported,87881,Peterbilt Medium/Heavy - CBE,1,X,P,B,D,P,9,X,0,G,D,3,0
1,Alabama,10128,2,1,3,March,2,2,16,4:00pm-4:59pm,57,57,32,Culvert,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,None,3,Motor Vehicle Not In-Transport Outside the Trafficway,0,No,91,Not Reported,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,999999999999,Reported as Unknown,9999,Unknown,99999,Unknown,99999,Unknown,999,Unknown,99,Unknown Make,999,49,"Unknown light vehicle type (automobile,utility vehicle, van, or light truck)",0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",0,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,7,Not Applicable,12,12 Clock Point,8,Not Reported,8,Not Reported,12,Motor Vehicle In-Transport,0,No or Not Reported,99999,"Unknown Make Unknown (as to automobile, motored cycle, light truck or truck)",9,9,9,9,9,9,9,9,9,9,9,9,0
1,Alabama,10155,2,1,3,March,21,21,2,2:00am-2:59am,4,4,33,Curb,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,None,3,Motor Vehicle Not In-Transport Outside the Trafficway,0,No,1,Alabama,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,1FMEU64E37UA,1FMEU64E37UA,2007,2007,460,Ford,1800,Explorer,7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,Ford,401,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",0,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,7,Not Applicable,9,9 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,No or Not Reported,12401,"Ford Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",1,F,M,E,U,6,4,E,3,7,U,A,0
1,Alabama,10181,2,1,3,March,31,31,12,12:00pm-12:59pm,42,42,14,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,None,3,Motor Vehicle Not In-Transport Outside the Trafficway,0,No,1,Alabama,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,1FDWF36P66EC,1FDWF36P66EC,2006,2006,460,Ford,1806,F-350,63,Incomplete - Chassis Cab (Single Cab),12,Ford,881,61,"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)",11,Truck,13,"Class 3: 10,001 - 14,000 lbs. (4,536 - 6,350 kg)",13,"Class 3: 10,001 - 14,000 lbs. (4,536 - 6,350 kg)",0,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,88888888888,None,88,None,888888888,None,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",98,Unknown Cargo Body Type,1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,0,No Underride or Override,8,8 Clock Point,6,Disabling Damage,5,Not Towed,12,Motor Vehicle In-Transport,0,No or Not Reported,12881,Ford Medium/Heavy – CBE,1,F,D,W,F,3,6,P,6,6,E,C,0
1,Alabama,10279,3,2,5,May,3,3,21,9:00pm-9:59pm,15,15,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,None,2,Motor Vehicle Not In-Transport Within the Trafficway,0,No,1,Alabama,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,1HGCR2F7XDA0,1HGCR2F7XDA0,2013,2013,474,Honda,1861,Accord,13,Sedan/Saloon,37,Honda,32,4,"4-door sedan, hardtop",0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,0,No Underride or Override,4,4 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,No or Not Reported,37032,"Honda Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",1,H,G,C,R,2,F,7,X,D,A,0,0
1,Alabama,10298,2,2,5,May,13,13,16,4:00pm-4:59pm,40,40,14,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,None,2,Motor Vehicle Not In-Transport Within the Trafficway,0,No,18,Indiana,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,3HSDZTZR0NN2,3HSDZTZR0NN2,2022,2022,526,International,20852,LT625,66,Truck-Tractor,84,International Harvester/Navistar,881,66,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",0,Not Applicable,18,"Class 8: 33,001 lbs. and above (14,969 kg and above)",18,"Class 8: 33,001 lbs. and above (14,969 kg and above)",1,One Trailing Unit,888888888888,Not Reported,777777777777,No Trailing Units,777777777777,No Trailing Units,98,Not Reported,77,No Trailing Units,77,No Trailing Units,572575128,572575128,57,US DOT,2575128,2575128,6,Truck Tractor/Semi-Trailer,3,Flatbed,1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,0,No Underride or Override,6,6 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,No or Not Reported,84881,International Harvester/Navistar Medium/Heavy - CBE,3,H,S,D,Z,T,Z,R,0,N,N,2,0
1,Alabama,10314,2,1,5,May,18,18,23,11:00pm-11:59pm,20,20,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,None,3,Motor Vehicle Not In-Transport Outside the Trafficway,0,No,1,Alabama,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,2HGFG12878H5,2HGFG12878H5,2008,2008,474,Honda,1863,Civic,3,Coupe,37,Honda,31,2,"2-door sedan,hardtop,coupe",0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,0,No Underride or Override,8,8 Clock Point,2,Minor Damage,5,Not Towed,12,Motor Vehicle In-Transport,0,No or Not Reported,37031,"Honda Civic/CRX, del Sol",2,H,G,F,G,1,2,8,7,8,H,5,0
1,Alabama,10359,2,1,5,May,29,29,18,6:00pm-6:59pm,23,23,14,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,None,3,Motor Vehicle Not In-Transport Outside the Trafficway,0,No,1,Alabama,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,3GCPCSE04DG1,3GCPCSE04DG1,2013,2013,467,Chevrolet,1850,Silverado,60,Pickup,20,Chevrolet,481,34,Light Pickup,0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",0,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,7,Not Applicable,1,1 Clock Point,2,Minor Damage,5,Not Towed,12,Motor Vehicle In-Transport,0,No or Not Reported,20481,"Chevrolet C, K, R, V-series pickup/Silverado",3,G,C,P,C,S,E,0,4,D,G,1,0
1,Alabama,10443,3,2,6,June,19,19,14,2:00pm-2:59pm,20,20,23,Bridge Rail (Includes parapet),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,4,04,2,Motor Vehicle Not In-Transport Within the Trafficway,0,No,47,Tennessee,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,1FTEW1E53KFC,1FTEW1E53KFC,2019,2019,460,Ford,1801,F-150,60,Pickup,12,Ford,481,34,Light Pickup,0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",0,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,0,No Underride or Override,12,12 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,No or Not Reported,12481,Ford F-Series pickup,1,F,T,E,W,1,E,5,3,K,F,C,0
1,Alabama,10443,4,2,6,June,19,19,14,2:00pm-2:59pm,20,20,23,Bridge Rail (Includes parapet),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,2,02,2,Motor Vehicle Not In-Transport Within the Trafficway,0,No,1,Alabama,6,Driverless/Motor Vehicle Parked/Stopped Off Roadway,1C6RR7PT9GS1,1C6RR7PT9GS1,2016,2016,496,Ram,13620,1500,60,Pickup,7,Dodge,482,34,Light Pickup,0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",0,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,0,No Underride or Override,1,1 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,No or Not Reported,7482,Dodge Ram Pickup,1,C,6,R,R,7,P,T,9,G,S,1,0
